@rowCount	1316
toki pona lon	to say good things about, praise	phrase
toki pona tawa	to say nice things to, compliment	phrase
toki sitelen	written language	phrase
toki sona	proverbs	phrase
toki utala tawa	to argue with, criticize	phrase
tomo mi	my house	phrase
tomo pi jan Keli en mije ona li suli.	The house of Keli and her boyfriend is big.	phrase
tomo pi jan Lisa	Lisa's house	phrase
tomo pi ona mute	their house	phrase
tomo pi telo nasa	building of alcohol; a bar, pub, etc.	phrase
tomo tawa	car (moving construction)	phrase
tomo tawa kon	airplane, helicopter	phrase
tomo tawa telo	boat, ship	phrase
tomo lape	bedroom	phrase
tomo mani	bank	phrase
tomo mi li weka tan ni.	My house is away from here.	phrase
tomo moku	grocery store, restaurant	phrase
tomo pali	work(place), office, factory, etc.	phrase
tomo pi ijo kama jo	shop  ??	phrase
tomo pi telo en moku pana.	restaurant	phrase
tomo sona	school, university	phrase
tomo tawa sina li pakala ala pakala?	Is your car messed up?	phrase
tomo telo	restroom	phrase
tomo toki	chat room, conference room	phrase
tomo unpa	sex place, e.g. bedroom, boudoir, brothel, etc.	phrase
tu tu	2 + 2 = 4	phrase
tu wan	2 + 1 = 3	phrase
unpa li pona	sex is good, I like sex	phrase
unpa nasa	kinky sex	phrase
unpa sama soweli	doggy style	phrase
unpa uta	oral sex	phrase
utala li ike tawa mi.	I don't like wars.	phrase
utala li ike.	Conflict is bad.	phrase
walo pimeja	grey (dark white)	phrase
walo uta	teeth	phrase
wan sijelo	body part	phrase
waso li ken ala lukin la ona li kin ken jo e kili.	A blind chicken can find a corn too.	phrase
wawa li lon insa.	Energy comes from inside. Youth is all in the heart.	phrase
weka e ike jan	forgive somebody	phrase
weka lili li pona tawa lawa.	Temporary isolation is good for meditation.	phrase
wile e pona tawa jan	to wish somebody well	phrase
wile ike	to have negative intentions, malevolent	phrase
wile lape	to be tired, sleepy, wanting to rest	phrase
wile lawa	to be dominant	phrase
wile moku	to be hungry	phrase
wile moku e telo	thirsty	phrase
wile moli	suicidal	phrase
wile moli e jan	homicidal, wanting to murder	phrase
wile mute	to crave, really want	phrase
wile mute ike	to want too much, greedy	phrase
wile pali e ijo	bored, wanting to do something	phrase
wile pana e pona (tawa jan)	helpful (to someone)	phrase
wile pi jan ike li pakala e ijo.	The desires of evil people mess things up.	phrase
wile pona	to have good intentions, mean well	phrase
wile sona li mute e sona.	Curiosity feeds wisdom. One learns by asking questions.	phrase
wile unpa	horny, lustful	phrase
wile unpa e meli	to be sexually attracted to women	phrase
wile unpa e meli e mije	to be sexually attracted to women and men	phrase
wile unpa e mije	to be sexually attracted to men	phrase
