@rowCount	1316
Posan	Bosnia and Herzegovina, Bosnian	word
Posuka	Poland, Polish	word
Potuke	Portugal, Portugese	word
Samalino	San Marino	word
Sameka	Jamaica, Jamaican Patoi	word
Samowa	Samoa	word
Sasali	Algeria	word
Sawa	Java, Javanese	word
Sawasi	Swaziland	word
Seki	Czech (Republic)	word
Seneka	Senegal	word
Setapika	South Africa	word
Sile	Chile	word
Sinita	Trinidad and Tobago	word
Sipusi	Djibouti	word
Sonko	China, Chinese	word
Sopisi	Serbia, Serbian	word
Sukosi	Scotland, Scots	word
Sulija	Syria	word
Sumi	Finland, Finnish	word
Sutan	Sudan	word
Suwasi	Switzerland, Swiss	word
Tansi	Denmark, Danish	word
Tawi	Thailand, Thai	word
Toko	Togo	word
Tominika	Dominican Republic	word
Tona	Tonga, Tongan	word
Tosi	Germany, German	word
Tuki	Turkey, Turkish	word
Tunisi	Tunisia	word
Tuwalu	Tuvalu	word
Ukanta	Uganda	word
Ukawina	Ukraine, Ukrainian	word
Ulukawi	Uruguay	word
Uman	Oman	word
Utun	Jordan	word
Wanuwatu	Vanuatu	word
Wasikano	Vatican	word
Wensa	Sweden, Swedish	word
a	ahh, ha!, umm, hmm, ooh, etc.	word
akesi	reptile, amphibian	word
ala	zero	word
ala li jaki.	Nothing is dirty.	phrase
ali / (ale)	(noun) everything, anything, life, the universe   (adjective) all, every, complete, whole	phrase
anpa	ground; low, deep; to lower, to defeat	word
ante	other, different	word
anu	or	word
awen	to wait, to pause, to stay; remaining	word
e	introduces direct object	word
en	and	word
ijo	something, anything, stuff, thing	word
ike	bad, evil, complicated	word
ilo	tool, device, machine	word
insa	inside, stomach	word
jaki	dirty, nasty, trash	word
jan	somebody, anybody, person, etc.	word
jan Eta li jan unpa.	Heather is a whore.	phrase
jan Kanata	Canadian person	phrase
jan Keli o, sina pona lukin.	Kelly, you are pretty.	phrase
jan Ken o, pipi li lon len sina.	Ken, a bug is on your shirt.	phrase
jan Lisa li pona.	Lisa is cool.	phrase
jan Mawen o, sina wile ala wile moku?	Marvin, are you hungry?	phrase
jan Mesiko	Mexican person	phrase
jan Mewi li toki tawa mi.	Mary's talking to me.	phrase
jan Nesan li musi.	Nathan is funny.	phrase
jan Pentan li pana e sona tawa mi.	Brandon teaches to me.	phrase
jan Tepani o, sina ike tawa mi.	Steffany, I don't like you.	phrase
jan seme li moku?	Who is eating?	phrase
jan seme li tawa poka sina?	Who went with you?	phrase
jelo	yellow, light green	word
jo	to have, ownership, possession	word
kala	fish, seafood	word
kalama	sound, noise; to make noise,   to play an instrument	word
kalama musi 'Jingle Bells' li pona tawa mi.	I like the song 'Jingle Bells'.	phrase
kalama musi li pona tawa mi.	I like music.	phrase
kalama musi pi jan Elton-John li nasa.	The music of Elton John is odd.	phrase
kalama ni li seme?	What was that noise?	phrase
kama	to come, to happen, to cause	word
kasi	plant	word
kasi anpa	grass	phrase
kasi kule	flower	phrase
kasi lili	little weeds	phrase
kasi suli	trees, big shrubs	phrase
ken	can, to be able to; possibility	word
ken la ilo li pakala.	Maybe the tool is broken.	phrase
ken la jan Lisa li jo e ona.	Maybe Lisa has it.	phrase
ken la mi ken tawa ma Elopa.	Maybe I can go to Europe.	phrase
ken la ona li lape.	Maybe he's alseep.	phrase
kepeken	to use, with, using	word
kili	vegetable, fruit	word
kin	indeed, still, too	word
kiwen	stone, rock, hard like a rock	word
ko	semi-solid substance (glue, powder, etc.)	word
kon	air, atmosphere, spirit, wind	word
kule	colour	word
kulupu	group, community, society	word
kute	to hear	word
la	separates adverb of context from sentence	word
lape	to sleep; sleep	word
laso	blue, blue-green	word
lawa	main, leading, head; to lead	word
len	clothes, article of clothing, cloth, fabric	word
lete	cold; to freeze	word
lete li lon.	It's cold.	phrase
lete lili li lon.	It's cool.	phrase
lete mute li lon.	It's very cold.	phrase
letter	pronounced as in	word
li	separates a 3rd person subject   from its verb	word
lili	small, short, thin, young	word
linja	line, hair	word
lipu	paper, sheet, page, ticket, etc.	word
loje	red	word
luka	hand, arm	word
lukin	aware, attentive	word
lupa	hole, orifice, door, window	word
ma	Ecology	word
ma Italija li pona lukin.	Italy is beautiful.	phrase
ma Kanata li pona.	Canada is good.	phrase
ma tomo Alenta	Atlanta	phrase
ma tomo Lantan li suli.	London is big.	phrase
ma tomo Loma	Rome (Italy)	phrase
ma tomo Pelin	Berlin (Germany)	phrase
mama	parent	word
mani	money, currency	word
meli	woman, wife, girlfriend, female	word
meli Italija	Italian woman	phrase
mi	I, we, me, our	word
mi jan Pepe.	I am Pepe.	phrase
mije	man, husband, boyfriend, male	word
mije Epanja	Spanish man	phrase
moku	food, meal, to eat, to drink	word
moli	death; to die, to kill	word
monsi	rear, back, behind	word
mu	woof, meow, moo, any animal sound	word
mun	moon, lunar	word
musi	to have fun, to amuse; game, fun	word
mute	many, a lot	word
nanpa	number	word
nasa	crazy, foolish	word
nasin	road, way, doctrine, method	word
nena	bump, hill, extrusion	word
nimi	name, word	word
nimi mi li Pepe.	My name is Pepe.	phrase
noka	leg, foot	word
o	used for vocative and imperative	word
o awen.	Wait.	phrase
o lukin e ni.	Watch this.	phrase
o pali!	Work!	phrase
o tawa ma tomo poka jan pona sina.	Go to the city with your friend.	phrase
oko	eye	word
olin	to love affectionately, as of a person	word
ona	he, she, it	word
open	to open, to begin, to turn on	word
pakala	mess up, destroy, accident	word
pali	to do, to make, to work; activity, work	word
palisa	rod, stick, pointy thing	word
pana	to give, to send, to release, to emit	word
pi	essentially means 'of' (seperator)	word
pilin	to feel, touch	word
pimeja	black, dark	word
pini	end; to end, to stop, to turn off	word
pipi	any type of bug	word
poka	side, hip, nearby	word
poka telo	water side, the beach	phrase
poki	glass, cup, bottle, bowl, container	word
sama	same, similar	word
sama li ike.	Equality is bad.	phrase
seli	warm, hot, to burn	word
seli li lon.	It's hot.	phrase
seli lili li lon.	It's warm.	phrase
seli mute li lon.	It's very hot.	phrase
selo	skin, external surface of something	word
seme	what, which (used to make question words)	word
seme li lon poka mi?	What is beside me?	phrase
seme li lon tomo mi?	What is in my house?	phrase
seme li moku e kili mi?	What is eating my fruit?	phrase
seme li pona tawa sina?	What do you like?	phrase
seme li utala e sina?	What attacked you?	phrase
sewi	high, above, roof, top, sky	word
sijelo	body	word
sike	circle, ball	word
sin	new, another, more	word
sina	you, your	word
sinpin	wall, chest	word
sitelen	picture, image, to draw, to write	word
sitelen ma	map	phrase
sitelen tawa	movie, TV show	phrase
sitelen tawa 'Bowling for Columbine' li kin pona.	The movie 'Bowling for Columbine' is also good.	phrase
sitelen tawa 'Fahrenheit 9/11' li pona tawa mi.	I like the movie 'Fahrenheit 9/11'.	phrase
sona	to know, to know how to; wisdom	word
soweli	meat from a mammal, e.g. beef, pork	word
soweli ni li pona moku.	This cow is good to eat.	phrase
suli	big, tall, fat	word
suno	sun, light	word
supa	any type of furniture	word
supa lape	bed	phrase
suwi	sweet, cute; candy, cookie	word
tan	reason, cause; because of, from	word
taso	but, only	word
tawa	to go to, to move, to, for	word
telo	water, beverage, liquid, sauce	word
tenpo	time	word
tenpo kama la mi lape.	In the future, I'll sleep.	phrase
tenpo ni la mi lon.	At this time, I am here.	phrase
tenpo pimeja pini la mi kama nasa.	Last night, I became drunk.	phrase
tenpo pini la mi weka.	In the past, I was away.	phrase
tenpo tu tu la mi sike e suno.	Four times (la) I circled the sun.	phrase
toki	language; hey!	word
toki Epelanto	Esperanto	phrase
toki Inli li pona.	The English language is good.	phrase
toki Kanse	French language	phrase
tomo	buildings	word
tu	two; to divide	word
unpa	sex, to have sex, to fuck	word
uta	mouth	word
utala	war, battle, to fight	word
walo	white, light	word
wan	one; to unite	word
waso	chicken, poultry	word
wawa	strong, intense; energy, power	word
weka	away; to remove, to eliminate	word
wile	to want, desire, would like, hope	word
a a a!	ha ha ha!	phrase
a! telo sijelo loje li kama tan nena kute mi!	Ahh! Blood is coming from my ear!	phrase
a.	Ooh, ahh, unh, oh, etc.	word
akesi pi telo moli	venomous snakes, poisonous frogs	phrase
akesi li pana e telo moli.	The snake emitted venom ('deadly fluid').	phrase
ale / ali	everything, all	phrase
ale li jo e tenpo.	There is a time for everything. Everything in its right context.	phrase
ale li pona	all is well, I feel calm, I am at peace	phrase
ale li pona.	All is good. Life is beautiful. Everything will be OK.	phrase
ali	everything, all	word
anpa lawa	neck, throat	phrase
anpa pi sinpin lawa	chin	phrase
ante li kama.	Change comes. Times change.	phrase
awen pona	patient	phrase
ijo lon tomo	household things	phrase
ijo uta walo	teeth	phrase
ike li kama.	Bad comes. Shit happens.	phrase
ike lukin	ugly	phrase
ike!	Oh no!, Uh oh!, Alas!, etc.	word
ilo lape	sleeping pill	phrase
ilo lape soweli	animal tranquilizer or anesthetic, e.g. ketamine	phrase
ilo li pakala.	The tool is broken.	phrase
ilo moku	utensil, fork, spoon, knife, etc.	phrase
ilo musi	toy, thing used for entertainment	phrase
ilo nanpa	computer	phrase
ilo nasa	drugs	phrase
ilo nasa wawa	energy-giving drug, e.g. amphetamine	phrase
ilo ni li pilin lete.	This axe feels cold.	phrase
ilo pi sitelen tawa	tv	phrase
ilo pi sitelen toki	pen, pencil	phrase
ilo sona	smart tool or machine, e.g. computer	phrase
ilo suno	lamp	phrase
ilo toki	communications device, e.g. telephone, online chat	phrase
ilo unpa	sex toy	phrase
ilo wan ma	Internet	phrase
jan (pi pali) moku	chef, cook	phrase
jan (pi pali) unpa	sex worker, prostitute	phrase
jan Ana o pana e moku tawa mi.	Ana, give me food.	phrase
jan Epi o a!	Oh Abbie!	phrase
jan Ken o, mi olin e sina.	Ken, I love you.	phrase
jan Lisa taso li kama.	Only Lisa came.	phrase
jan Mose o lawa e mi mute tawa ma pona.	Moses, lead us to the good land.	phrase
jan Pawe o, mi wile ala moli.	Forrest, I don't want to die.	phrase
jan San o tawa tomo sina!	John, go to your house!	phrase
jan San o, ...	John, ...	phrase
jan San li seme?	Who is John?	phrase
jan Santa	Santa Claus	phrase
jan Sesi o moku e kili ni.	Jessie, eat this fruit.	phrase
jan Susan anu jan Lisa li moku e suwi?	Susan or Lisa ate the cookies?	phrase
jan Ta o toki ala tawa mi.	Todd, don't talk to me.	phrase
jan Wasintan [Washington] li jan lawa pona pi ma Mewika.	Washington was a good leader of America.	phrase
jan ala li toki.	Nobody is talking.	phrase
jan ali li wile tawa.	Everybody wants to travel.	phrase
jan kala	mermaid.	phrase
jan mute mute mute li kama!	Many, many, many people are coming!	phrase
jan pi ike lukin	an ugly person	phrase
jan pi ma tomo	person of the city, a city-dweller	phrase
jan pi nanpa tu tu	4th person	phrase
jan pi nasin sewi Kolisu	person of Christian religion, a Christian	phrase
jan pi pona lukin	an attractive person	phrase
jan pi wawa ala	a weak person	phrase
jan poka	neighbor, someone who is beside you	phrase
jan sin li kama.	More people are coming.	phrase
jan ike	enemy	phrase
jan kulupu	member of a group	phrase
jan lawa	leader, boss, master, chairperson, president, director	phrase
jan lawa pi jan utala	leader of soldiers (commander, general)	phrase
jan lawa pi tomo tawa kon	leader of airplanes, a pilot	phrase
jan lawa ma	president of country, governor of state, premier of province	phrase
jan lawa pi ma tomo	mayor	phrase
jan li moli e waso.	The person killed the bird.	phrase
jan li lon insa tomo.	Somebody's inside the house.	phrase
